102 22841,,2,0,0,1,4,3,5,16,23,28,3.783
102 22851,,1,0,1,1,2,3,7,5,28,29,3.857
102 22861,,3,0,1,0,1,2,2,7,19,53,3.944
102 22861,,3,0,1,0,1,2,2,7,19,53,3.944
102 23140,,3,2,2,7,3,4,17,41,52,22,3.621
102 23140,,3,2,2,7,3,4,17,41,52,22,3.621
102 23160,,4,0,0,0,0,1,6,17,14,11,3.566
102 23160,,4,0,0,0,0,1,6,17,14,11,3.566
102 23180,,1,8,9,9,4,11,7,43,31,22,3.427
102 23180,,1,8,9,9,4,11,7,43,31,22,3.427
102E23190,,7,3,3,3,2,8,5,10,22,20,3.312
102E23190,,7,3,3,3,2,8,5,10,22,20,3.312
102E23200,01,17,17,7,10,14,23,19,45,34,45,3.166
102E23200,01,17,17,7,10,14,23,19,45,34,45,3.166
102 23200,02,11,15,8,13,11,17,15,33,23,14,2.974
102E23300,,9,3,2,4,6,9,9,10,11,11,2.966
102E23300,,9,3,2,4,6,9,9,10,11,11,2.966
102E24110,01,3,0,0,5,9,14,27,57,35,15,3.529
102 24110,02,3,2,0,5,3,9,17,85,62,21,3.666
102 24430,,1,2,1,1,3,2,4,8,17,6,3.52
102 24430,,1,2,1,1,3,2,4,8,17,6,3.52
102 24630,,1,3,0,6,2,11,7,15,17,27,3.596
102 24630,,1,3,0,6,2,11,7,15,17,27,3.596
102 24630,,1,3,0,6,2,11,7,15,17,27,3.596
102 30280,,2,0,1,0,0,0,0,9,26,9,3.787
102 31301,01,1,0,0,0,1,2,7,39,20,0,3.659
102 31301,02,2,0,1,3,5,10,15,24,16,3,3.387
102 31301,03,1,0,0,0,0,0,2,7,56,12,3.95
102 31301,04,0,1,0,1,0,1,9,33,30,0,3.717
102 31301,05,5,2,4,2,6,6,8,13,20,5,3.186
102 31301,06,0,0,0,0,0,3,2,16,31,32,4.005
102E31460,,1,0,0,5,5,11,14,98,71,25,3.732
102 31621,,0,0,0,0,0,1,1,1,3,12,4.089
102 31621,,0,0,0,0,0,1,1,1,3,12,4.089
102 31820,,0,0,0,0,0,0,0,4,4,11,4.111
102 31820,,0,0,0,0,0,0,0,4,4,11,4.111
102 32121,01,3,1,2,4,3,13,9,23,35,45,3.698
102 32121,02,3,6,3,2,8,18,8,33,75,47,3.68
102 32121,02,3,6,3,2,8,18,8,33,75,47,3.68
102 32121,04,2,0,2,1,1,4,4,7,15,30,3.774
102 32121,04,2,0,2,1,1,4,4,7,15,30,3.774
102 32121,05,1,1,3,2,4,11,12,34,50,51,3.792
102 32221,01,0,4,0,1,2,5,9,24,39,85,3.962
102 32221,01,0,4,0,1,2,5,9,24,39,85,3.962
102 32221,01,0,4,0,1,2,5,9,24,39,85,3.962
102 32221,02,4,5,4,6,8,14,11,31,53,68,3.673
